Status,Problem,Tags,Summary,Due,Assignee,Language,Last edited time
Not started,"Pow(x, n)",Divide and Conquer,,,,,"November 27, 2023 5:03 PM"
Not started,Set Matrix Zeroes,"Math, Matrix",,,,,"November 27, 2023 8:33 PM"
Not started,Rotate Image,Matrix,,,,,"November 28, 2023 12:32 PM"
Not started,Design Twitter,"Hash Map, Heap, Linked List",,,,,"November 28, 2023 2:08 PM"
Not started,Kth Largest Element in an Array,"Heap, QuickSelect, QuickSort",,,,,"November 28, 2023 5:01 PM"
Not started,K Closest Points to Origin,Heap,,,,,"November 28, 2023 5:02 PM"
Not started,Task Scheduler,Heap,,,,,"November 28, 2023 7:10 PM"
Not started,Permutation in String,"Sliding Window, Two Pointers",,,,,"November 28, 2023 7:42 PM"
Not started,Longest Substring Without Repeating Characters,"Sliding Window, String, Two Pointers",,,,,"November 28, 2023 8:15 PM"
Not started,Longest Repeating Character Replacement,"Hash Map, Two Pointers",,,,,"November 29, 2023 10:47 AM"
Not started,Daily Temperatures,Stack,,,,,"November 29, 2023 11:03 AM"
Not started,Generate Parentheses,"DFS, Recursion, Stack",,,,,"November 29, 2023 11:13 AM"
Not started,Min Stack,Stack,,,,,"November 29, 2023 2:17 PM"
Not started,Container with Most Water,Two Pointers,,,,,"November 29, 2023 2:33 PM"
Not started,Surrounded Regions,DFS,,,,,"November 29, 2023 5:22 PM"
Not started,Min Cost to Connect all Points,UnionFind,,,,,"November 29, 2023 6:01 PM"
Not started,Course Schedule,"DFS, Topological Sort",,,,,"November 29, 2023 6:39 PM"
Not started,https://leetcode.com/problems/house-robber/,Dynamic Programming,,,,,"November 30, 2023 1:39 PM"
Not started,House Robber II,Dynamic Programming,,,,,"November 30, 2023 2:11 PM"
Not started,Longest Palindroming Substring,Dynamic Programming,,,,,"November 30, 2023 2:56 PM"
Not started,Coin Change,Dynamic Programming,,,,,"November 30, 2023 6:41 PM"
Not started,Word Break,"Dynamic Programming, Memoization",,,,,"December 1, 2023 10:53 AM"
Not started,Partition Equal Subset Sum,"Dynamic Programming, Memoization, Recursion",,,,,"December 1, 2023 11:19 AM"
Not started,Palindrome Substrings,"Dynamic Programming, Two Pointers",,,,,"December 1, 2023 7:33 PM"
Not started,Longest Increasing Subsequence,Dynamic Programming,,,,,"December 2, 2023 2:10 PM"
Not started,Coin Change II,Dynamic Programming,,,,,"December 2, 2023 6:34 PM"
Not started,Interleaving String,Dynamic Programming,,,,,"December 2, 2023 7:16 PM"
Not started,Valid Parenthesis String,Dynamic Programming,,,,,"December 3, 2023 2:54 PM"
Not started,Partition Labels,"Greedy, Two Pointers",,,,,"December 3, 2023 6:28 PM"
Not started,Gas Station,"Greedy, Preprocessing",,,,,"December 3, 2023 9:39 PM"
Not started,Hand of Straights,"Hash Map, Sorting",,,,,"December 5, 2023 10:54 AM"
Not started,Insert Interval,Intervals,,,,,"December 5, 2023 11:27 AM"
Not started,Best Time to Buy/Sell Stock With Cooldown,Dynamic Programming,,,,,"December 5, 2023 2:38 PM"
Not started,Unique Paths,"Dynamic Programming, Recursion",,,,,"December 5, 2023 4:38 PM"
Not started,Longest Common Subsequence,"Dynamic Programming, Memoization",,,,,"December 5, 2023 11:56 PM"
Not started,3Sum,Binary Search,,,,,"December 7, 2023 8:33 PM"
Not started,https://leetcode.com/problems/network-delay-time/,Graph,,,,,"December 16, 2023 1:28 PM"
Not started,Cheapest Flights with K Stops,Graph,,,,,"December 20, 2023 8:53 PM"
